                                        Waterbody                 Watershed  avg_risk_score  percent_unsafe  severe_cases
1249                                Millers River                   Millers        0.875000      100.000000             0
679                             Unnamed Tributary                Blackstone        0.875000       87.500000             0
1035                                Proctor Brook             North Coastal        0.875000      100.000000             0
376                                 Charles River                   Charles        0.875000      100.000000             0
1264                            Unnamed Tributary                   Millers        0.875000      100.000000             0
390                              Blackstone River                Blackstone        0.875000       75.000000             0
710                               Lake Cochituate          Concord (SuAsCo)        0.875000       50.000000             3
127                                 Fullers Brook  Narragansett Bay (Shore)        0.875000       87.500000             0
647                                 Unquity Brook                  Neponset        0.875000      100.000000             0
738                             Unnamed Tributary          Concord (SuAsCo)        0.875000       83.333333             0
1170                                 Boston Brook                   Ipswich        0.875000      100.000000             2
246                                   Bacon Brook                Blackstone        0.875000      100.000000             0
930                                   Still River                    Nashua        0.875000      100.000000             3
417                                 Chicken Brook                   Charles        0.875000       83.333333             0
1301                               Lake Monomonac                   Millers        0.869565       56.521739             6
214                                  Robbins Pond                   Taunton        0.866667       66.666667             0
1244                             Pearl Hill Brook                    Nashua        0.857143       94.736842             0
48                             Mattapoisett River              Buzzards Bay        0.857143       85.714286             0
1146                              Shawsheen River                 Shawsheen        0.846154       84.615385             0
62                                  Copicut River              Buzzards Bay        0.833333       83.333333             0
73                                   Whites Brook                  Cape Cod        0.833333      100.000000             0
420                           Beaver Meadow Brook                  Neponset        0.833333       50.000000             0
594                                Neponset River                  Neponset        0.833333      100.000000             0
381                                    West Brook                 Quinebaug        0.833333      100.000000             0
448                                Neponset River                  Neponset        0.833333       83.333333             0
141                                  Indian Brook             South Coastal        0.833333      133.333333             0
891                  East Branch Housatonic River                Housatonic        0.833333       66.666667             0
1130                              Whetstone Brook                   Millers        0.833333      100.000000             0
722                                  Weasel Brook                Blackstone        0.833333       66.666667             0
1221                                   Deep Brook                 Merrimack        0.833333      100.000000             0
494                                 Germany Brook                  Neponset        0.833333       83.333333             0
855                                  Prince River                  Chicopee        0.833333       83.333333             0
65                                 Acushnet River              Buzzards Bay        0.833333       83.333333             0
403                                     Alum Pond                 Quinebaug        0.833333       41.666667             3
505                             Unnamed Tributary                Blackstone        0.833333       83.333333             0
626                                  Mother Brook                  Neponset        0.833333       83.333333             0
726                     Muddy Brook/Hardwick Pond                  Chicopee        0.818182       57.142857             9
941                                   Shute Brook             North Coastal        0.818182      112.500000             0
959                             Shaker Glen Brook                    Mystic        0.800000       80.000000             0
445                                  Potash Brook                 Westfield        0.800000      100.000000             0
